epoch	accuracy	loss	lr	val_accuracy	val_loss
0	0.6547234654426575	0.6637501120567322	1e-05	0.6713286638259888	0.6325336694717407
1	0.6611811518669128	0.6263622641563416	1e-05	0.6732358336448669	0.6051680445671082
2	0.6627434492111206	0.607568621635437	1e-05	0.6789574027061462	0.586972713470459
3	0.6785751581192017	0.5910356640815735	1e-05	0.707565188407898	0.5717453956604004
4	0.7061764597892761	0.5779779553413391	1e-05	0.7247298359870911	0.5604420900344849
5	0.723153829574585	0.5667259693145752	1e-05	0.7209154367446899	0.5521609783172607
6	0.7253410816192627	0.5596230030059814	1e-05	0.7221869230270386	0.5459626317024231
7	0.7273200750350952	0.5508219003677368	1e-05	0.7228226065635681	0.5404784679412842
8	0.7285699248313904	0.545638382434845	1e-05	0.7228226065635681	0.5363019704818726
9	0.729090690612793	0.5402050018310547	1e-05	0.7209154367446899	0.532069206237793
10	0.7350276112556458	0.533098042011261	1e-05	0.7240940928459167	0.5281227231025696
11	0.7402353882789612	0.5284178853034973	1e-05	0.7266370058059692	0.5247781276702881
12	0.744297444820404	0.5249277353286743	1e-05	0.7266370058059692	0.521811842918396
13	0.7482553720474243	0.5192322134971619	1e-05	0.7266370058059692	0.5190174579620361
14	0.7490886449813843	0.5151252150535583	1e-05	0.729815661907196	0.5163869261741638
15	0.7581502199172974	0.5115488171577454	1e-05	0.7355371713638306	0.5135917067527771
16	0.7591917514801025	0.5054876208305359	1e-05	0.7412587404251099	0.5111315846443176
17	0.7638787627220154	0.5016843676567078	1e-05	0.7463445663452148	0.5086146593093872
18	0.7677325010299683	0.4998936057090759	1e-05	0.7463445663452148	0.5060692429542542
19	0.7750234603881836	0.49303749203681946	1e-05	0.7488874793052673	0.5038962960243225
20	0.7748151421546936	0.49062028527259827	1e-05	0.7495232224464417	0.501809298992157
21	0.7843974828720093	0.48451104760169983	1e-05	0.7501589059829712	0.4998563528060913
22	0.7799187302589417	0.48175686597824097	1e-05	0.7590591311454773	0.4974050223827362
23	0.7854390144348145	0.47879233956336975	1e-05	0.7616020441055298	0.4954538643360138
24	0.7903343439102173	0.4747036099433899	1e-05	0.7622377872467041	0.4932875335216522
25	0.7960628867149353	0.47011932730674744	1e-05	0.7647807002067566	0.49069616198539734
